File,Iterations
Sudokus/Beginner/Sudoku1,876
Sudokus/Beginner/Sudoku2,271
Sudokus/Beginner/Sudoku3_14-05,368
Sudokus/Beginner/Sudoku4_15-05,525
Sudokus/Beginner/Sudoku5_16-05,320
Sudokus/Beginner/Sudoku6_17-05,842
Sudokus/Beginner/Sudoku7_18-05,2073
Sudokus/Beginner/Sudoku8_19-05,102
Sudokus/Beginner/Sudoku9_20-05,197
Sudokus/Easy/Sudoku1_14-05,885
Sudokus/Easy/Sudoku2_15-05,1813
Sudokus/Easy/Sudoku3_16-05,862
Sudokus/Easy/Sudoku4_17-05,582
Sudokus/Easy/Sudoku5_18-05,522
Sudokus/Easy/Sudoku6_19-05,197
Sudokus/Easy/Sudoku7_20-05,94
Sudokus/Medium/Sudoku1_14-05,5050
Sudokus/Medium/Sudoku2_15-05,3872
Sudokus/Medium/Sudoku3_16-05,3051
Sudokus/Medium/Sudoku4_17-05,363
Sudokus/Medium/Sudoku5_18-05,1852
Sudokus/Medium/Sudoku6_19-05,8617
Sudokus/Medium/Sudoku7_20-05,2905
Sudokus/Tricky/Sudoku1_14-05,1325
Sudokus/Tricky/Sudoku2_15-05,160
Sudokus/Tricky/Sudoku3_16-05,4694
Sudokus/Tricky/Sudoku4_17-05,8258
Sudokus/Tricky/Sudoku5_18-05,25723
Sudokus/Tricky/Sudoku6_19-05,61495
Sudokus/Tricky/Sudoku7_20-05,24589
Sudokus/Fiendish/Sudoku1_14-05,18496
Sudokus/Fiendish/Sudoku2_15-05,1547
Sudokus/Fiendish/Sudoku3_16-05,4036
Sudokus/Fiendish/Sudoku4_17-05,4786
Sudokus/Fiendish/Sudoku5_18-05,6731
Sudokus/Fiendish/Sudoku6_19-05,53355
Sudokus/Fiendish/Sudoku7_20-05,2928
Sudokus/Diabolical/Sudoku1_14-05,4088
Sudokus/Diabolical/Sudoku2_15-05,835
Sudokus/Diabolical/Sudoku3_16-05,1101
Sudokus/Diabolical/Sudoku4_17-05,122
Sudokus/Diabolical/Sudoku5_18-05,1807
Sudokus/Diabolical/Sudoku6_19-05,8005
Sudokus/Diabolical/Sudoku7_20-05,4718
Sudokus/Size/2x2/Sudoku10_2x2,391
Sudokus/Size/2x2/Sudoku1_2x2,391
Sudokus/Size/2x2/Sudoku2_2x2,391
Sudokus/Size/2x2/Sudoku3_2x2,391
Sudokus/Size/2x2/Sudoku4_2x2,391
Sudokus/Size/2x2/Sudoku5_2x2,391
Sudokus/Size/2x2/Sudoku6_2x2,391
Sudokus/Size/2x2/Sudoku7_2x2,391
Sudokus/Size/2x2/Sudoku8_2x2,391
Sudokus/Size/2x2/Sudoku9_2x2,391
Sudokus/Size/2x3/Sudoku10_2x3,391
Sudokus/Size/2x3/Sudoku1_2x3,391
Sudokus/Size/2x3/Sudoku2_2x3,391
Sudokus/Size/2x3/Sudoku3_2x3,391
Sudokus/Size/2x3/Sudoku4_2x3,391
Sudokus/Size/2x3/Sudoku5_2x3,391
Sudokus/Size/2x3/Sudoku6_2x3,391
Sudokus/Size/2x3/Sudoku7_2x3,391
Sudokus/Size/2x3/Sudoku8_2x3,391
Sudokus/Size/2x3/Sudoku9_2x3,391
Sudokus/Size/2x4/Sudoku10_2x4,391
Sudokus/Size/2x4/Sudoku1_2x4,391
Sudokus/Size/2x4/Sudoku2_2x4,391
Sudokus/Size/2x4/Sudoku3_2x4,391
Sudokus/Size/2x4/Sudoku4_2x4,391
Sudokus/Size/2x4/Sudoku5_2x4,391
Sudokus/Size/2x4/Sudoku6_2x4,391
Sudokus/Size/2x4/Sudoku7_2x4,391
Sudokus/Size/2x4/Sudoku8_2x4,391
Sudokus/Size/2x4/Sudoku9_2x4,391
Sudokus/Size/3x3/Sudoku10_3x3,1800
Sudokus/Size/3x3/Sudoku1_3x3,1704
Sudokus/Size/3x3/Sudoku2_3x3,2401
Sudokus/Size/3x3/Sudoku3_3x3,29128
Sudokus/Size/3x3/Sudoku4_3x3,160
Sudokus/Size/3x3/Sudoku5_3x3,6304
Sudokus/Size/3x3/Sudoku6_3x3,1827
Sudokus/Size/3x3/Sudoku7_3x3,131
Sudokus/Size/3x3/Sudoku8_3x3,447
Sudokus/Size/3x3/Sudoku9_3x3,509
Sudokus/Size/2x2/Sudoku10_2x2,391
Sudokus/Size/2x2/Sudoku1_2x2,391
Sudokus/Size/2x2/Sudoku2_2x2,391
Sudokus/Size/2x2/Sudoku3_2x2,391
Sudokus/Size/2x2/Sudoku4_2x2,391
Sudokus/Size/2x2/Sudoku5_2x2,391
Sudokus/Size/2x2/Sudoku6_2x2,391
Sudokus/Size/2x2/Sudoku7_2x2,391
Sudokus/Size/2x2/Sudoku8_2x2,391
Sudokus/Size/2x2/Sudoku9_2x2,391
Sudokus/Size/2x3/Sudoku10_2x3,391
Sudokus/Size/2x3/Sudoku1_2x3,391
Sudokus/Size/2x3/Sudoku2_2x3,391
Sudokus/Size/2x3/Sudoku3_2x3,391
Sudokus/Size/2x3/Sudoku4_2x3,391
Sudokus/Size/2x3/Sudoku5_2x3,391
Sudokus/Size/2x3/Sudoku6_2x3,391
Sudokus/Size/2x3/Sudoku7_2x3,391
Sudokus/Size/2x3/Sudoku8_2x3,391
Sudokus/Size/2x3/Sudoku9_2x3,391
Sudokus/Size/2x4/Sudoku10_2x4,391
Sudokus/Size/2x4/Sudoku1_2x4,391
Sudokus/Size/2x4/Sudoku2_2x4,391
Sudokus/Size/2x4/Sudoku3_2x4,391
Sudokus/Size/2x4/Sudoku4_2x4,391
Sudokus/Size/2x4/Sudoku5_2x4,391
Sudokus/Size/2x4/Sudoku6_2x4,391
Sudokus/Size/2x4/Sudoku8_2x4,391
Sudokus/Size/2x4/Sudoku9_2x4,391
Sudokus/Size/3x3/Sudoku10_3x3,1800
