file, time_ms
Sudokus/Difficulty/Beginner/Sudoku1,2.659861
Sudokus/Difficulty/Beginner/Sudoku2,0.425127
Sudokus/Difficulty/Beginner/Sudoku3_14-05,0.831814
Sudokus/Difficulty/Beginner/Sudoku4_15-05,1.015695
Sudokus/Difficulty/Beginner/Sudoku5_16-05,0.569883
Sudokus/Difficulty/Beginner/Sudoku6_17-05,3.125362
Sudokus/Difficulty/Beginner/Sudoku7_18-05,2.156692
Sudokus/Difficulty/Beginner/Sudoku8_19-05,0.149063
Sudokus/Difficulty/Beginner/Sudoku9_20-05,0.621646
Sudokus/Difficulty/Easy/Sudoku1_14-05,2.066241
Sudokus/Difficulty/Easy/Sudoku2_15-05,3.457499
Sudokus/Difficulty/Easy/Sudoku3_16-05,2.45492
Sudokus/Difficulty/Easy/Sudoku4_17-05,1.319294
Sudokus/Difficulty/Easy/Sudoku5_18-05,0.996507
Sudokus/Difficulty/Easy/Sudoku6_19-05,0.357106
Sudokus/Difficulty/Easy/Sudoku7_20-05,0.122169
Sudokus/Difficulty/Medium/Sudoku1_14-05,4.958345
Sudokus/Difficulty/Medium/Sudoku2_15-05,6.371223
Sudokus/Difficulty/Medium/Sudoku3_16-05,7.12543
Sudokus/Difficulty/Medium/Sudoku4_17-05,0.678715
Sudokus/Difficulty/Medium/Sudoku5_18-05,2.686335
Sudokus/Difficulty/Medium/Sudoku6_19-05,4.008724
Sudokus/Difficulty/Medium/Sudoku7_20-05,3.544998
Sudokus/Difficulty/Tricky/Sudoku1_14-05,2.93132
Sudokus/Difficulty/Tricky/Sudoku2_15-05,0.513506
Sudokus/Difficulty/Tricky/Sudoku3_16-05,3.428482
Sudokus/Difficulty/Tricky/Sudoku4_17-05,7.039318
Sudokus/Difficulty/Tricky/Sudoku5_18-05,10.378451
Sudokus/Difficulty/Tricky/Sudoku6_19-05,23.997237
Sudokus/Difficulty/Tricky/Sudoku7_20-05,13.566326
Sudokus/Difficulty/Fiendish/Sudoku1_14-05,8.987185
Sudokus/Difficulty/Fiendish/Sudoku2_15-05,3.422998
Sudokus/Difficulty/Fiendish/Sudoku3_16-05,3.593508
Sudokus/Difficulty/Fiendish/Sudoku4_17-05,3.930972
Sudokus/Difficulty/Fiendish/Sudoku5_18-05,7.395175
Sudokus/Difficulty/Fiendish/Sudoku6_19-05,21.029958
Sudokus/Difficulty/Fiendish/Sudoku7_20-05,7.267321
Sudokus/Difficulty/Diabolical/Sudoku1_14-05,6.939708
Sudokus/Difficulty/Diabolical/Sudoku2_15-05,2.451867
Sudokus/Difficulty/Diabolical/Sudoku3_16-05,1.967838
Sudokus/Difficulty/Diabolical/Sudoku4_17-05,0.391499
Sudokus/Difficulty/Diabolical/Sudoku5_18-05,3.026024
Sudokus/Difficulty/Diabolical/Sudoku6_19-05,5.625367
Sudokus/Difficulty/Diabolical/Sudoku7_20-05,3.495962
