file, time_ms
py-sudokus/Size/2x2/Sudoku100_2x2,0.030279
py-sudokus/Size/2x2/Sudoku10_2x2,0.02761
py-sudokus/Size/2x2/Sudoku11_2x2,0.02582
py-sudokus/Size/2x2/Sudoku12_2x2,0.040116
py-sudokus/Size/2x2/Sudoku13_2x2,0.021221
py-sudokus/Size/2x2/Sudoku14_2x2,0.054312
py-sudokus/Size/2x2/Sudoku15_2x2,0.028065
py-sudokus/Size/2x2/Sudoku16_2x2,0.029469
py-sudokus/Size/2x2/Sudoku17_2x2,0.031539
py-sudokus/Size/2x2/Sudoku18_2x2,0.0575
py-sudokus/Size/2x2/Sudoku19_2x2,0.018664
py-sudokus/Size/2x2/Sudoku1_2x2,0.020189
py-sudokus/Size/2x2/Sudoku20_2x2,0.026893
py-sudokus/Size/2x2/Sudoku21_2x2,0.048594
py-sudokus/Size/2x2/Sudoku22_2x2,0.049387
py-sudokus/Size/2x2/Sudoku23_2x2,0.030474
py-sudokus/Size/2x2/Sudoku24_2x2,0.025817
py-sudokus/Size/2x2/Sudoku25_2x2,0.028261
py-sudokus/Size/2x2/Sudoku26_2x2,0.020087
py-sudokus/Size/2x2/Sudoku27_2x2,0.027012
py-sudokus/Size/2x2/Sudoku28_2x2,0.030731
py-sudokus/Size/2x2/Sudoku29_2x2,0.027868
py-sudokus/Size/2x2/Sudoku2_2x2,0.041853
py-sudokus/Size/2x2/Sudoku30_2x2,0.019395
py-sudokus/Size/2x2/Sudoku31_2x2,0.03176
py-sudokus/Size/2x2/Sudoku32_2x2,0.019485
py-sudokus/Size/2x2/Sudoku33_2x2,0.019692
py-sudokus/Size/2x2/Sudoku34_2x2,0.078333
py-sudokus/Size/2x2/Sudoku35_2x2,0.01814
py-sudokus/Size/2x2/Sudoku36_2x2,0.018582
py-sudokus/Size/2x2/Sudoku37_2x2,0.021584
py-sudokus/Size/2x2/Sudoku38_2x2,0.028316
py-sudokus/Size/2x2/Sudoku39_2x2,0.029578
py-sudokus/Size/2x2/Sudoku3_2x2,0.028293
py-sudokus/Size/2x2/Sudoku40_2x2,0.019311
py-sudokus/Size/2x2/Sudoku41_2x2,0.021164
py-sudokus/Size/2x2/Sudoku42_2x2,0.029997
py-sudokus/Size/2x2/Sudoku43_2x2,0.019933
py-sudokus/Size/2x2/Sudoku44_2x2,0.028259
py-sudokus/Size/2x2/Sudoku45_2x2,0.027237
py-sudokus/Size/2x2/Sudoku46_2x2,0.038824
py-sudokus/Size/2x2/Sudoku47_2x2,0.029343
py-sudokus/Size/2x2/Sudoku48_2x2,0.019706
py-sudokus/Size/2x2/Sudoku49_2x2,0.027747
py-sudokus/Size/2x2/Sudoku4_2x2,0.017782
py-sudokus/Size/2x2/Sudoku50_2x2,0.028251
py-sudokus/Size/2x2/Sudoku51_2x2,0.018727
py-sudokus/Size/2x2/Sudoku52_2x2,0.022617
py-sudokus/Size/2x2/Sudoku53_2x2,0.032872
py-sudokus/Size/2x2/Sudoku54_2x2,0.027887
py-sudokus/Size/2x2/Sudoku55_2x2,0.022001
