file, time_ms
Sudokus/Difficulty/Beginner/Sudoku1 , 2.364951
Sudokus/Difficulty/Beginner/Sudoku2 , 4.261511
Sudokus/Difficulty/Beginner/Sudoku3_14-05 , 2.295113
Sudokus/Difficulty/Beginner/Sudoku4_15-05 , 2.631463
Sudokus/Difficulty/Beginner/Sudoku5_16-05 , 3.541428
Sudokus/Difficulty/Beginner/Sudoku6_17-05 , 2.405315
Sudokus/Difficulty/Beginner/Sudoku7_18-05 , 2.394721
Sudokus/Difficulty/Beginner/Sudoku8_19-05 , 2.63556
Sudokus/Difficulty/Beginner/Sudoku9_20-05 , 2.716949
Sudokus/Difficulty/Diabolical/Sudoku1_14-05 , 2.853467
Sudokus/Difficulty/Diabolical/Sudoku2_15-05 , 4.652334
Sudokus/Difficulty/Diabolical/Sudoku3_16-05 , 4.521966
Sudokus/Difficulty/Diabolical/Sudoku4_17-05 , 3.12662
Sudokus/Difficulty/Diabolical/Sudoku5_18-05 , 3.9996
Sudokus/Difficulty/Diabolical/Sudoku6_19-05 , 4.107719
Sudokus/Difficulty/Diabolical/Sudoku7_20-05 , 4.578149
Sudokus/Difficulty/Easy/Sudoku1_14-05 , 4.725683
Sudokus/Difficulty/Easy/Sudoku2_15-05 , 4.443128
Sudokus/Difficulty/Easy/Sudoku3_16-05 , 4.719128
Sudokus/Difficulty/Easy/Sudoku4_17-05 , 4.384462
Sudokus/Difficulty/Easy/Sudoku5_18-05 , 3.036619
Sudokus/Difficulty/Easy/Sudoku6_19-05 , 3.959696
Sudokus/Difficulty/Easy/Sudoku7_20-05 , 4.248422
Sudokus/Difficulty/Fiendish/Sudoku1_14-05 , 4.982097
Sudokus/Difficulty/Fiendish/Sudoku2_15-05 , 3.484844
Sudokus/Difficulty/Fiendish/Sudoku3_16-05 , 4.743743
Sudokus/Difficulty/Fiendish/Sudoku4_17-05 , 3.765097
Sudokus/Difficulty/Fiendish/Sudoku5_18-05 , 4.670042
Sudokus/Difficulty/Fiendish/Sudoku6_19-05 , 6.14319
Sudokus/Difficulty/Fiendish/Sudoku7_20-05 , 4.905392
Sudokus/Difficulty/Medium/Sudoku1_14-05 , 4.563805
Sudokus/Difficulty/Medium/Sudoku2_15-05 , 5.053333
Sudokus/Difficulty/Medium/Sudoku3_16-05 , 4.891648
Sudokus/Difficulty/Medium/Sudoku4_17-05 , 4.826053
Sudokus/Difficulty/Medium/Sudoku5_18-05 , 3.230539
Sudokus/Difficulty/Medium/Sudoku6_19-05 , 4.025179
Sudokus/Difficulty/Medium/Sudoku7_20-05 , 5.209783
Sudokus/Difficulty/Tricky/Sudoku1_14-05 , 5.015255
Sudokus/Difficulty/Tricky/Sudoku2_15-05 , 3.797356
Sudokus/Difficulty/Tricky/Sudoku3_16-05 , 3.326058
Sudokus/Difficulty/Tricky/Sudoku4_17-05 , 2.803878
Sudokus/Difficulty/Tricky/Sudoku5_18-05 , 8.150584
Sudokus/Difficulty/Tricky/Sudoku6_19-05 , 3.777339
Sudokus/Difficulty/Tricky/Sudoku7_20-05 , 4.675437
