file, time_ms
py-sudokus/Size/2x2/Sudoku100_2x2 , 0.235356
py-sudokus/Size/2x2/Sudoku10_2x2 , 0.236844
py-sudokus/Size/2x2/Sudoku11_2x2 , 0.251708
py-sudokus/Size/2x2/Sudoku12_2x2 , 0.290877
py-sudokus/Size/2x2/Sudoku13_2x2 , 0.233097
py-sudokus/Size/2x2/Sudoku14_2x2 , 0.395053
py-sudokus/Size/2x2/Sudoku15_2x2 , 0.350663
py-sudokus/Size/2x2/Sudoku16_2x2 , 0.236718
py-sudokus/Size/2x2/Sudoku17_2x2 , 0.25837
py-sudokus/Size/2x2/Sudoku18_2x2 , 0.374039
py-sudokus/Size/2x2/Sudoku19_2x2 , 0.243471
py-sudokus/Size/2x2/Sudoku1_2x2 , 0.383785
py-sudokus/Size/2x2/Sudoku20_2x2 , 0.276336
py-sudokus/Size/2x2/Sudoku21_2x2 , 0.258686
py-sudokus/Size/2x2/Sudoku22_2x2 , 0.315366
py-sudokus/Size/2x2/Sudoku23_2x2 , 0.321845
py-sudokus/Size/2x2/Sudoku24_2x2 , 0.269148
py-sudokus/Size/2x2/Sudoku25_2x2 , 0.250053
py-sudokus/Size/2x2/Sudoku26_2x2 , 0.362462
py-sudokus/Size/2x2/Sudoku27_2x2 , 0.395261
py-sudokus/Size/2x2/Sudoku28_2x2 , 0.264456
py-sudokus/Size/2x2/Sudoku29_2x2 , 0.390076
py-sudokus/Size/2x2/Sudoku2_2x2 , 0.313004
py-sudokus/Size/2x2/Sudoku30_2x2 , 0.238229
py-sudokus/Size/2x2/Sudoku31_2x2 , 0.252952
py-sudokus/Size/2x2/Sudoku32_2x2 , 0.261355
py-sudokus/Size/2x2/Sudoku33_2x2 , 0.342451
py-sudokus/Size/2x2/Sudoku34_2x2 , 0.410312
py-sudokus/Size/2x2/Sudoku35_2x2 , 0.418776
py-sudokus/Size/2x2/Sudoku36_2x2 , 0.402386
py-sudokus/Size/2x2/Sudoku37_2x2 , 0.400875
py-sudokus/Size/2x2/Sudoku38_2x2 , 0.40496
py-sudokus/Size/2x2/Sudoku39_2x2 , 0.399718
py-sudokus/Size/2x2/Sudoku3_2x2 , 0.35996
py-sudokus/Size/2x2/Sudoku40_2x2 , 0.369595
py-sudokus/Size/2x2/Sudoku41_2x2 , 0.417613
py-sudokus/Size/2x2/Sudoku42_2x2 , 0.39689
py-sudokus/Size/2x2/Sudoku43_2x2 , 0.391784
py-sudokus/Size/2x2/Sudoku44_2x2 , 0.406073
py-sudokus/Size/2x2/Sudoku45_2x2 , 0.374978
py-sudokus/Size/2x2/Sudoku46_2x2 , 0.326619
py-sudokus/Size/2x2/Sudoku47_2x2 , 0.405416
py-sudokus/Size/2x2/Sudoku48_2x2 , 0.497215
py-sudokus/Size/2x2/Sudoku49_2x2 , 0.365437
py-sudokus/Size/2x2/Sudoku4_2x2 , 0.321731
py-sudokus/Size/2x2/Sudoku50_2x2 , 0.400489
py-sudokus/Size/2x2/Sudoku51_2x2 , 0.38183
py-sudokus/Size/2x2/Sudoku52_2x2 , 0.366532
py-sudokus/Size/2x2/Sudoku53_2x2 , 0.444055
py-sudokus/Size/2x2/Sudoku54_2x2 , 0.252331
py-sudokus/Size/2x2/Sudoku55_2x2 , 0.267436
py-sudokus/Size/2x2/Sudoku56_2x2 , 0.406164
py-sudokus/Size/2x2/Sudoku57_2x2 , 0.401526
py-sudokus/Size/2x2/Sudoku58_2x2 , 0.283438
py-sudokus/Size/2x2/Sudoku59_2x2 , 0.415894
py-sudokus/Size/2x2/Sudoku5_2x2 , 0.394343
py-sudokus/Size/2x2/Sudoku60_2x2 , 0.386969
py-sudokus/Size/2x2/Sudoku61_2x2 , 0.408103
py-sudokus/Size/2x2/Sudoku62_2x2 , 0.385009
py-sudokus/Size/2x2/Sudoku63_2x2 , 0.391792
py-sudokus/Size/2x2/Sudoku64_2x2 , 0.418456
py-sudokus/Size/2x2/Sudoku65_2x2 , 0.482994
py-sudokus/Size/2x2/Sudoku66_2x2 , 0.37319
py-sudokus/Size/2x2/Sudoku67_2x2 , 0.272262
py-sudokus/Size/2x2/Sudoku68_2x2 , 0.391277
py-sudokus/Size/2x2/Sudoku69_2x2 , 0.399805
py-sudokus/Size/2x2/Sudoku6_2x2 , 0.417214
py-sudokus/Size/2x2/Sudoku70_2x2 , 0.320018
py-sudokus/Size/2x2/Sudoku71_2x2 , 0.243319
py-sudokus/Size/2x2/Sudoku72_2x2 , 0.243405
py-sudokus/Size/2x2/Sudoku73_2x2 , 0.325265
py-sudokus/Size/2x2/Sudoku74_2x2 , 0.320763
py-sudokus/Size/2x2/Sudoku75_2x2 , 0.239781
py-sudokus/Size/2x2/Sudoku76_2x2 , 0.245538
py-sudokus/Size/2x2/Sudoku77_2x2 , 0.399403
py-sudokus/Size/2x2/Sudoku78_2x2 , 0.416191
py-sudokus/Size/2x2/Sudoku79_2x2 , 0.262438
py-sudokus/Size/2x2/Sudoku7_2x2 , 0.286586
py-sudokus/Size/2x2/Sudoku80_2x2 , 0.254279
py-sudokus/Size/2x2/Sudoku81_2x2 , 0.269475
py-sudokus/Size/2x2/Sudoku82_2x2 , 0.236696
py-sudokus/Size/2x2/Sudoku83_2x2 , 0.248738
py-sudokus/Size/2x2/Sudoku84_2x2 , 0.386041
py-sudokus/Size/2x2/Sudoku85_2x2 , 0.402898
py-sudokus/Size/2x2/Sudoku86_2x2 , 0.243656
py-sudokus/Size/2x2/Sudoku87_2x2 , 0.270266
py-sudokus/Size/2x2/Sudoku88_2x2 , 0.260347
py-sudokus/Size/2x2/Sudoku89_2x2 , 0.242078
py-sudokus/Size/2x2/Sudoku8_2x2 , 0.267013
py-sudokus/Size/2x2/Sudoku90_2x2 , 0.388616
py-sudokus/Size/2x2/Sudoku91_2x2 , 0.459904
py-sudokus/Size/2x2/Sudoku92_2x2 , 0.434673
py-sudokus/Size/2x2/Sudoku93_2x2 , 0.391874
py-sudokus/Size/2x2/Sudoku94_2x2 , 0.264471
py-sudokus/Size/2x2/Sudoku95_2x2 , 0.253803
py-sudokus/Size/2x2/Sudoku96_2x2 , 0.406727
py-sudokus/Size/2x2/Sudoku97_2x2 , 0.307716
py-sudokus/Size/2x2/Sudoku98_2x2 , 0.254772
py-sudokus/Size/2x2/Sudoku99_2x2 , 0.318867
py-sudokus/Size/2x2/Sudoku9_2x2 , 0.36038
py-sudokus/Size/2x3/Sudoku100_2x3 , 0.728782
py-sudokus/Size/2x3/Sudoku10_2x3 , 1.114979
py-sudokus/Size/2x3/Sudoku11_2x3 , 0.73644
py-sudokus/Size/2x3/Sudoku12_2x3 , 1.278415
py-sudokus/Size/2x3/Sudoku13_2x3 , 0.733925
py-sudokus/Size/2x3/Sudoku14_2x3 , 1.000572
py-sudokus/Size/2x3/Sudoku15_2x3 , 0.751784
py-sudokus/Size/2x3/Sudoku16_2x3 , 1.234383
py-sudokus/Size/2x3/Sudoku17_2x3 , 1.243061
py-sudokus/Size/2x3/Sudoku18_2x3 , 0.75569
py-sudokus/Size/2x3/Sudoku19_2x3 , 1.198443
py-sudokus/Size/2x3/Sudoku1_2x3 , 1.213046
py-sudokus/Size/2x3/Sudoku20_2x3 , 1.25681
py-sudokus/Size/2x3/Sudoku21_2x3 , 1.229696
py-sudokus/Size/2x3/Sudoku22_2x3 , 1.213899
py-sudokus/Size/2x3/Sudoku23_2x3 , 1.19486
py-sudokus/Size/2x3/Sudoku24_2x3 , 1.903697
py-sudokus/Size/2x3/Sudoku25_2x3 , 0.708924
py-sudokus/Size/2x3/Sudoku26_2x3 , 1.236639
py-sudokus/Size/2x3/Sudoku27_2x3 , 0.785496
py-sudokus/Size/2x3/Sudoku28_2x3 , 1.403538
py-sudokus/Size/2x3/Sudoku29_2x3 , 1.252873
py-sudokus/Size/2x3/Sudoku2_2x3 , 0.755218
py-sudokus/Size/2x3/Sudoku30_2x3 , 1.013093
py-sudokus/Size/2x3/Sudoku31_2x3 , 0.826201
py-sudokus/Size/2x3/Sudoku32_2x3 , 1.147897
py-sudokus/Size/2x3/Sudoku33_2x3 , 1.227713
py-sudokus/Size/2x3/Sudoku34_2x3 , 0.78309
py-sudokus/Size/2x3/Sudoku35_2x3 , 0.924086
py-sudokus/Size/2x3/Sudoku36_2x3 , 0.737715
py-sudokus/Size/2x3/Sudoku37_2x3 , 0.739129
py-sudokus/Size/2x3/Sudoku38_2x3 , 1.214878
py-sudokus/Size/2x3/Sudoku39_2x3 , 0.777476
py-sudokus/Size/2x3/Sudoku3_2x3 , 0.735307
py-sudokus/Size/2x3/Sudoku40_2x3 , 0.798431
py-sudokus/Size/2x3/Sudoku41_2x3 , 1.251469
py-sudokus/Size/2x3/Sudoku42_2x3 , 0.815184
